seeds: 1132132257 323430997 2043754183 4501055 2539071613 1059028389 1695770806 60470169 2220296232 251415938 1673679740 6063698 962820135 133182317 262615889 327780505 3602765034 194858721 2147281339 37466509

seed-to-soil map:
1280158874 0 45923291
0 1431836695 234754481
2476778759 365219074 73714061
3997869725 4152785341 16553125
3014496893 3731980396 420804945
3435301838 2667516045 60128827
2784964719 2727644872 187996890
792043155 613341484 49447658
1444573280 2476024240 74468580
2728723659 3675739336 56241060
2704677524 4236229588 24046135
2360313001 1780050354 116465758
1326082165 226504189 118491115
3495430665 3630596320 3607732
1519041860 662789142 56785021
3973462947 3383860003 24406778
1575826881 45923291 119425025
1695251906 766775600 665061095
2667516045 3323175190 6512477
4240794960 3329687667 54172336
720792676 344995304 20223770
489053726 438933135 143852141
741016446 746305099 20470501
3499038397 4169338466 66891122
761486947 582785276 30556208
3565929519 3249598798 73576392
659636803 165348316 61155873
234754481 2221724995 254299245
2674028522 4260275723 30649002
841490813 1896516112 325208883
632905867 719574163 26730936
1166699696 1666591176 113459178
2972961609 3634204052 41535284
4195000071 3408266781 45794889
4190957500 4290924725 4042571
3639505911 2915641762 333957036
4014422850 3454061670 176534650

soil-to-fertilizer map:
528009375 3804807330 65591757
3608285775 3569685636 235121694
432120564 3045118038 95888811
3843407469 1792428879 363149111
4206556580 2155577990 88410716
3441777 3141006849 428678787
1019419908 3870399087 424568209
593601132 2619299262 425818776
1443988117 3441777 1788987102
3232975219 2243988706 375310556

fertilizer-to-water map:
3768646817 2541098841 42522952
657445332 493998363 293094466
3153469588 3947073749 287697992
2513829777 3047249136 215146452
968568929 29638292 96921246
1600806946 1111339724 96961929
3880726440 2687212715 52238929
416544049 1090614661 20725063
1749924539 4274983783 15782292
1306572576 1208301653 21184719
2134505230 4234771741 40212042
1697768875 0 29638292
3811169769 2617656044 69556671
487527141 787092829 169918191
3932965369 2583621793 34034251
178562138 1471396125 237981911
2728976229 3010972799 36276337
2174717272 3262395588 176952386
3035746039 1749924539 117723549
2794475974 2764473831 241270065
437269112 443740334 50258029
2790274753 4290766075 4201221
3441167580 3767315650 179758099
3966999620 3439347974 327967676
2351669658 2236446487 162160119
1585319642 1229486372 15487304
1327757295 186177987 257562347
2765252566 2739451644 25022187
950539798 1709378036 18029131
1765706831 1867648088 368798399
1199093816 1363917365 107478760
3763417914 3005743896 5228903
1065490175 957011020 133603641
3620925679 2398606606 142492235
59618449 1244973676 118943689
0 126559538 59618449

water-to-light map:
2368177077 1928300684 68416280
3459327457 4032125413 181740227
2874128303 2996109939 93290692
40167335 1203835270 50270286
2984608918 3988581415 43543998
1295445723 891961544 129160430
232873619 72411133 344405432
4002859459 4225073350 66563582
3451555101 2874128303 4441992
3957368975 2950619455 45490484
4192270745 3148930063 6297777
1638782153 2125726715 498901151
3028152916 2912054150 38565305
577279051 1504061698 367203335
3418071246 2878570295 33483855
3897839543 3089400631 59529432
2967418995 3166056654 3449280
3641067684 3835626234 152955181
4147219041 3436688572 45051704
2436593357 1021121974 182713296
3066718221 3484273209 351353025
2647866375 1254105556 189577037
4198568522 3340289798 96398774
2619306653 39188438 21015758
2982075985 3481740276 2532933
4069423041 3155227840 10828814
2186332185 1443682593 52835141
90437621 678875874 142435998
980629741 2624627866 212815546
2239167326 1996716964 129009751
1424606153 571958210 106917664
